학제,학교명,지역,설립,재적학생수,재학생수,휴학생수,총장및전임교원수
전문대학,한국철도대학,경기,국립,180 ,134 ,46 ,
전문대학,강원도립대학,강원,공립,1658 ,900 ,758 ,31 
전문대학,경남도립거창대학,경남,공립,1614 ,955 ,659 ,31 
전문대학,경남도립남해대학,경남,공립,1639 ,846 ,793 ,25 
전문대학,경북도립대학교,경북,공립,1389 ,930 ,459 ,32 
전문대학,충북도립대학,충북,공립,1815 ,1028 ,787 ,30 
전문대학,인천전문대학,인천,공립,,,,
전문대학,충남도립대학교,충남,공립,1747 ,1121 ,626 ,33 
전문대학,한국복지대학교,경기,국립,735 ,536 ,199 ,56 
전문대학,가톨릭상지대학교,경북,사립,2859 ,2055 ,804 ,62 
전문대학,군산간호대학교,전북,사립,1241 ,1153 ,88 ,31 
전문대학,거제대학교,경남,사립,2525 ,1684 ,841 ,46 
전문대학,가천길대학,인천,사립,,,,
전문대학,경남정보대학교,부산,사립,11748 ,7058 ,4690 ,184 
전문대학,호산대학교,경북,사립,2832 ,2201 ,631 ,74 
전문대학,경민대학교,경기,사립,8154 ,4726 ,3428 ,144 
전문대학,대구미래대학교,경북,사립,1430 ,1019 ,411 ,49 
전문대학,영남외국어대학,경북,사립,1070 ,873 ,197 ,30 
전문대학,경북전문대학교,경북,사립,4290 ,2700 ,1590 ,80 
전문대학,경복대학교,경기,사립,8672 ,6452 ,2220 ,183 
전문대학,경원전문대학,경기,사립,,,,
전문대학,경인여자대학교,인천,사립,5309 ,4950 ,359 ,115 
전문대학,서라벌대학교,경북,사립,1270 ,984 ,286 ,34 
전문대학,계명문화대학교,대구,사립,8149 ,5283 ,2866 ,136 
전문대학,계원예술대학교,경기,사립,4361 ,2889 ,1472 ,87 
전문대학,광양보건대학교,전남,사립,2439 ,1984 ,455 ,70 
전문대학,광주보건대학교,광주,사립,5376 ,4123 ,1253 ,109 
전문대학,구미대학교,경북,사립,8306 ,5492 ,2814 ,134 
전문대학,서해대학,전북,사립,2084 ,1428 ,656 ,51 
전문대학,군장대학교,전북,사립,3028 ,2122 ,906 ,59 
전문대학,강동대학교,충북,사립,7079 ,4198 ,2881 ,121 
전문대학,고구려대학교,전남,사립,2364 ,2117 ,247 ,56 
전문대학,기독간호대학교,광주,사립,713 ,655 ,58 ,22 
전문대학,전주기전대학,전북,사립,2203 ,1869 ,334 ,58 
전문대학,김천과학대학교,경북,사립,1659 ,1344 ,315 ,43 
전문대학,김천대학,경북,사립,,,,
전문대학,김포대학교,경기,사립,5189 ,3371 ,1818 ,96 
전문대학,농협대학교,경기,사립,581 ,491 ,90 ,13 
전문대학,대경대학교,경북,사립,5811 ,4169 ,1642 ,116 
전문대학,대구공업대학교,대구,사립,4165 ,2022 ,2143 ,66 
전문대학,대구보건대학교,대구,사립,9370 ,6893 ,2477 ,179 
전문대학,수성대학교,대구,사립,5884 ,3756 ,2128 ,100 
전문대학,대구과학대학교,대구,사립,6123 ,4528 ,1595 ,140 
전문대학,대동대학교,부산,사립,2065 ,1694 ,371 ,47 
전문대학,대림대학교,경기,사립,11356 ,6685 ,4671 ,166 
전문대학,대원대학교,충북,사립,4118 ,2807 ,1311 ,92 
전문대학,동서울대학교,경기,사립,9282 ,6009 ,3273 ,155 
전문대학,대전보건대학교,대전,사립,8450 ,5929 ,2521 ,150 
전문대학,우송정보대학,대전,사립,7933 ,4866 ,3067 ,130 
전문대학,대전과학기술대학교,대전,사립,6336 ,4707 ,1629 ,130 
전문대학,아주자동차대학,충남,사립,2550 ,981 ,1569 ,29 
전문대학,인천재능대학교,인천,사립,6322 ,3651 ,2671 ,107 
전문대학,경북과학대학교,경북,사립,2695 ,1851 ,844 ,64 
전문대학,동남보건대학교,경기,사립,6309 ,4973 ,1336 ,127 
전문대학,동부산대학교,부산,사립,4237 ,2635 ,1602 ,78 
전문대학,동강대학교,광주,사립,4449 ,3418 ,1031 ,98 
전문대학,동아방송예술대학교,경기,사립,4530 ,3107 ,1423 ,85 
전문대학,동아인재대학교,전남,사립,2357 ,2013 ,344 ,68 
전문대학,동양미래대학교,서울,사립,11948 ,6348 ,5600 ,164 
전문대학,동우대학,강원,사립,162 ,112 ,50 ,
전문대학,동원대학교,경기,사립,6254 ,3838 ,2416 ,102 
전문대학,동의과학대학교,부산,사립,10967 ,5790 ,5177 ,153 
전문대학,동주대학교,부산,사립,5658 ,3563 ,2095 ,105 
전문대학,두원공과대학교,경기,사립,10228 ,6133 ,4095 ,168 
전문대학,마산대학교,경남,사립,8429 ,6170 ,2259 ,162 
전문대학,명지전문대학,서울,사립,10474 ,7027 ,3447 ,178 
전문대학,목포과학대학교,전남,사립,4604 ,2859 ,1745 ,82 
전문대학,문경대학교,경북,사립,1103 ,878 ,225 ,30 
전문대학,배화여자대학교,서울,사립,3460 ,3059 ,401 ,81 
전문대학,백제예술대학교,전북,사립,2781 ,1842 ,939 ,49 
전문대학,부산경상대학교,부산,사립,4797 ,3216 ,1581 ,86 
전문대학,부산여자대학교,부산,사립,3130 ,2948 ,182 ,76 
전문대학,부산과학기술대학교,부산,사립,10296 ,4506 ,5790 ,124 
전문대학,부천대학교,경기,사립,11695 ,7736 ,3959 ,210 
전문대학,삼육보건대학교,서울,사립,1522 ,1289 ,233 ,40 
전문대학,상지영서대학교,강원,사립,6334 ,3002 ,3332 ,80 
전문대학,서영대학교,광주,사립,8634 ,5053 ,3581 ,131 
전문대학,서울여자간호대학교,서울,사립,1017 ,976 ,41 ,31 
전문대학,서울보건대학,경기,사립,,,,
전문대학,서울예술대학교,경기,사립,4306 ,3063 ,1243 ,84 
전문대학,서일대학교,서울,사립,9916 ,6422 ,3494 ,174 
전문대학,성덕대학교,경북,사립,1409 ,1356 ,53 ,45 
전문대학,성심외국어대학,부산,사립,1249 ,,1249 ,
전문대학,송원대학,광주,사립,24 ,4 ,20 ,
전문대학,수원여자대학교,경기,사립,4878 ,4563 ,315 ,123 
전문대학,수원과학대학교,경기,사립,9917 ,6390 ,3527 ,167 
전문대학,순천제일대학교,전남,사립,5187 ,2545 ,2642 ,70 
전문대학,청암대학교,전남,사립,3688 ,2964 ,724 ,81 
전문대학,숭의여자대학교,서울,사립,3861 ,3616 ,245 ,91 
전문대학,신구대학교,경기,사립,9393 ,6839 ,2554 ,173 
전문대학,신성대학교,충남,사립,6942 ,4140 ,2802 ,118 
전문대학,신흥대학교,경기,사립,3453 ,1232 ,2221 ,
전문대학,안동과학대학교,경북,사립,4249 ,2859 ,1390 ,96 
