년,월,일,시,SO2,NO2,CO,O3,PM10
2014,1,1,1,0.01,0.037,1,0.005,179
2014,1,1,2,0.009,0.037,1,0.005,179
2014,1,1,3,0.008,0.037,1.1,0.004,181
2014,1,1,4,0.006,0.038,1.2,0.004,167
2014,1,1,5,0.006,0.039,1.2,0.004,149
2014,1,1,6,0.006,0.039,1.2,0.003,142
2014,1,1,7,0.007,0.04,1.1,0.003,131
2014,1,1,8,0.007,0.042,1.2,0.003,125
2014,1,1,9,0.006,0.041,1,0.004,112
2014,1,1,10,0.008,0.043,1.1,0.004,108
2014,1,1,11,0.006,0.033,0.7,0.011,109
2014,1,1,12,0.006,0.024,0.5,0.019,105
2014,1,1,13,0.007,0.018,0.4,0.024,107
2014,1,1,14,0.007,0.017,0.4,0.024,108
2014,1,1,15,0.007,0.018,0.4,0.024,108
2014,1,1,16,0.007,0.019,0.4,0.025,93
2014,1,1,17,0.007,0.021,0.5,0.025,128
2014,1,1,18,0.006,0.024,0.5,0.022,136
2014,1,1,19,0.005,0.028,0.6,0.018,138
2014,1,1,20,0.005,0.031,0.6,0.014,123
2014,1,1,21,0.006,0.032,0.6,0.012,131
2014,1,1,22,0.007,0.031,0.6,0.012,141
2014,1,1,23,0.008,0.032,0.7,0.01,136
2014,1,1,24,0.009,0.023,0.7,0.015,121
2014,1,2,1,0.008,0.017,0.6,0.019,92
2014,1,2,2,0.007,0.018,0.7,0.017,81
2014,1,2,3,0.006,0.017,0.7,0.018,82
2014,1,2,4,0.005,0.019,0.7,0.015,79
2014,1,2,5,0.005,0.029,0.8,0.007,72
2014,1,2,6,0.005,0.033,0.8,0.005,68
2014,1,2,7,0.005,0.03,0.7,0.006,64
2014,1,2,8,0.005,0.03,0.6,0.006,70
2014,1,2,9,0.005,0.033,0.6,0.006,61
2014,1,2,10,0.006,0.032,0.6,0.009,42
2014,1,2,11,0.005,0.032,0.5,0.012,43
2014,1,2,12,0.005,0.033,0.5,0.013,43
2014,1,2,13,0.004,0.029,0.4,0.017,38
2014,1,2,14,0.004,0.031,0.4,0.017,32
2014,1,2,15,0.004,0.031,0.4,0.016,33
2014,1,2,16,0.004,0.031,0.4,0.016,31
2014,1,2,17,0.004,0.034,0.4,0.013,31
2014,1,2,18,0.004,0.039,0.4,0.007,40
2014,1,2,19,0.005,0.045,0.6,0.004,35
2014,1,2,20,0.006,0.051,0.9,0.004,52
2014,1,2,21,0.007,0.055,1,0.003,57
2014,1,2,22,0.007,0.057,1.2,0.004,71
2014,1,2,23,0.008,0.059,1.3,0.004,71
2014,1,2,24,0.007,0.057,1.3,0.004,69
2014,1,3,1,0.006,0.05,1.2,0.004,59
2014,1,3,2,0.005,0.046,1,0.004,48
2014,1,3,3,0.004,0.042,0.9,0.004,39
2014,1,3,4,0.004,0.042,1,0.004,53
2014,1,3,5,0.005,0.041,1,0.004,53
2014,1,3,6,0.004,0.04,1,0.004,51
2014,1,3,7,0.005,0.042,0.8,0.003,48
2014,1,3,8,0.004,0.039,0.8,0.003,44
2014,1,3,9,0.005,0.041,0.9,0.004,47
2014,1,3,10,0.006,0.046,1,0.004,55
2014,1,3,11,0.006,0.046,1,0.004,66
2014,1,3,12,0.007,0.046,0.9,0.005,73
2014,1,3,13,0.007,0.05,1,0.005,75
2014,1,3,15,0.008,0.047,0.9,0.005,82
2014,1,3,16,0.006,0.043,0.7,0.006,74
2014,1,3,17,0.005,0.035,0.6,0.008,60
2014,1,3,18,0.005,0.037,0.7,0.005,62
2014,1,3,19,0.004,0.038,0.7,0.004,66
2014,1,3,20,0.005,0.039,0.8,0.004,78
2014,1,3,21,0.005,0.035,0.7,0.005,90
2014,1,3,22,0.004,0.034,0.7,0.005,82
2014,1,3,23,0.004,0.035,0.8,0.005,79
2014,1,3,24,0.004,0.029,0.6,0.01,68
2014,1,4,1,0.004,0.027,0.6,0.011,62
2014,1,4,2,0.004,0.019,0.5,0.02,53
2014,1,4,3,0.003,0.019,0.5,0.018,48
2014,1,4,4,0.003,0.021,0.5,0.015,45
2014,1,4,5,0.003,0.021,0.5,0.014,42
2014,1,4,6,0.003,0.024,0.5,0.009,38
2014,1,4,7,0.003,0.03,0.6,0.004,43
2014,1,4,8,0.004,0.032,0.7,0.004,48
2014,1,4,9,0.004,0.034,0.8,0.005,51
2014,1,4,10,0.005,0.036,0.8,0.005,54
2014,1,4,11,0.005,0.035,0.8,0.007,67
2014,1,4,12,0.005,0.031,0.7,0.013,60
2014,1,4,13,0.005,0.032,0.7,0.014,52
2014,1,4,14,0.005,0.035,0.7,0.013,66
2014,1,4,15,0.005,0.036,0.7,0.014,70
2014,1,4,16,0.005,0.037,0.7,0.013,60
2014,1,4,17,0.004,0.036,0.6,0.01,63
2014,1,4,18,0.003,0.031,0.5,0.011,51
2014,1,4,19,0.003,0.032,0.6,0.008,41
2014,1,4,20,0.003,0.036,0.7,0.005,41
2014,1,4,21,0.003,0.037,0.7,0.004,46
2014,1,4,22,0.003,0.037,0.7,0.004,50
2014,1,4,23,0.003,0.038,0.7,0.004,45
2014,1,4,24,0.003,0.037,0.8,0.005,47
2014,1,5,1,0.003,0.037,0.9,0.005,48
2014,1,5,2,0.004,0.038,1,0.004,47
2014,1,5,3,0.004,0.036,0.9,0.004,47
2014,1,5,4,0.004,0.035,0.9,0.004,48
2014,1,5,5,0.004,0.034,1,0.004,50
2014,1,5,6,0.004,0.035,1.1,0.004,42
2014,1,5,7,0.004,0.034,1,0.004,47
2014,1,5,8,0.004,0.035,1.1,0.004,53
2014,1,5,9,0.005,0.036,1.2,0.004,62
2014,1,5,10,0.005,0.036,1.1,0.005,56
2014,1,5,11,0.005,0.036,1,0.006,62
2014,1,5,12,0.005,0.039,1,0.007,63
2014,1,5,13,0.006,0.041,1,0.009,64
2014,1,5,14,0.006,0.042,0.9,0.009,56
2014,1,5,15,0.005,0.038,0.7,0.011,48
2014,1,5,16,0.005,0.033,0.6,0.014,50
2014,1,5,17,0.004,0.03,0.5,0.015,48
2014,1,5,18,0.004,0.025,0.5,0.017,40
2014,1,5,19,0.004,0.028,0.5,0.014,40
2014,1,5,20,0.004,0.027,0.6,0.014,41
2014,1,5,21,0.004,0.033,0.6,0.008,36
2014,1,5,22,0.004,0.037,0.7,0.006,45
2014,1,5,23,0.004,0.041,0.8,0.004,43
2014,1,5,24,0.005,0.041,0.8,0.004,38
2014,1,6,1,0.005,0.039,0.8,0.003,45
2014,1,6,2,0.004,0.038,0.9,0.004,47
2014,1,6,3,0.004,0.035,0.9,0.004,43
2014,1,6,4,0.004,0.033,0.8,0.003,49
2014,1,6,5,0.004,0.033,0.9,0.004,48
2014,1,6,6,0.004,0.032,0.8,0.004,45
2014,1,6,7,0.004,0.034,0.9,0.004,50
2014,1,6,8,0.005,0.036,1,0.004,60
2014,1,6,9,0.005,0.038,0.9,0.004,60
2014,1,6,10,0.005,0.035,0.8,0.005,55
2014,1,6,11,0.006,0.037,0.9,0.006,68
2014,1,6,12,0.006,0.035,0.7,0.009,68
2014,1,6,13,0.007,0.04,0.8,0.01,64
2014,1,6,14,0.009,0.032,0.6,0.023,65
2014,1,6,15,0.009,0.032,0.6,0.023,51
2014,1,6,16,0.009,0.032,0.6,0.022,70
2014,1,6,17,0.008,0.04,0.7,0.01,71
2014,1,6,18,0.008,0.046,0.8,0.004,80
2014,1,6,19,0.009,0.051,1,0.004,82
2014,1,6,20,0.008,0.055,1.1,0.004,84
2014,1,6,23,0.008,0.052,1.2,0.004,90
2014,1,6,24,0.008,0.054,1.3,0.004,85
2014,1,7,1,0.007,0.051,1.2,0.004,82
2014,1,7,2,0.007,0.043,0.9,0.003,70
2014,1,7,3,0.006,0.042,0.9,0.004,74
2014,1,7,4,0.006,0.041,1,0.004,88
2014,1,7,5,0.006,0.039,1,0.003,78
2014,1,7,6,0.005,0.037,0.9,0.003,73
2014,1,7,7,0.006,0.038,0.8,0.003,72
2014,1,7,8,0.006,0.039,0.8,0.003,77
2014,1,7,9,0.007,0.039,0.8,0.004,88
2014,1,7,10,0.007,0.039,0.9,0.005,88
2014,1,7,11,0.007,0.044,1,0.005,92
2014,1,7,12,0.009,0.05,1.2,0.004,98
2014,1,7,13,0.01,0.059,1.3,0.004,105
2014,1,7,14,0.01,0.059,1.2,0.004,124
2014,1,7,15,0.01,0.056,1,0.004,106
2014,1,7,16,0.008,0.048,0.7,0.007,82
2014,1,7,17,0.009,0.052,0.8,0.005,81
2014,1,7,18,0.009,0.058,1,0.004,96
2014,1,7,19,0.01,0.06,1.2,0.004,133
2014,1,7,20,0.009,0.057,1,0.004,121
2014,1,7,21,0.009,0.056,1.1,0.004,111
2014,1,7,22,0.009,0.055,1.1,0.004,124
2014,1,7,23,0.009,0.058,1.3,0.004,116
2014,1,7,24,0.009,0.061,1.4,0.004,118
2014,1,8,1,0.008,0.055,1.3,0.004,105
2014,1,8,2,0.007,0.051,1.2,0.004,122
2014,1,8,3,0.007,0.049,1.1,0.003,112
2014,1,8,4,0.007,0.049,1,0.004,97
2014,1,8,5,0.007,0.048,1,0.003,97
2014,1,8,6,0.007,0.049,1.1,0.004,107
2014,1,8,7,0.007,0.051,1.3,0.004,110
2014,1,8,8,0.006,0.049,1.1,0.003,98
2014,1,8,9,0.006,0.045,1,0.004,91
2014,1,8,10,0.006,0.039,0.9,0.006,106
2014,1,8,11,0.006,0.033,0.9,0.01,111
2014,1,8,12,0.007,0.026,0.8,0.016,105
2014,1,8,13,0.008,0.02,0.8,0.02,94
2014,1,8,14,0.007,0.025,0.9,0.017,102
2014,1,8,15,0.007,0.022,0.9,0.018,109
2014,1,8,16,0.006,0.021,0.7,0.021,106
2014,1,8,17,0.005,0.02,0.4,0.021,60
2014,1,8,18,0.004,0.019,0.3,0.02,42
2014,1,8,19,0.004,0.02,0.3,0.019,34
2014,1,8,20,0.004,0.017,0.3,0.02,31
2014,1,8,21,0.004,0.017,0.3,0.02,44
2014,1,8,22,0.003,0.014,0.3,0.023,42
2014,1,8,23,0.003,0.014,0.3,0.022,36
2014,1,8,24,0.003,0.015,0.3,0.021,31
2014,1,9,1,0.003,0.014,0.3,0.023,24
2014,1,9,2,0.004,0.012,0.3,0.025,25
2014,1,9,3,0.003,0.012,0.3,0.026,20
2014,1,9,4,0.004,0.011,0.3,0.027,22
2014,1,9,5,0.003,0.011,0.3,0.026,21
2014,1,9,6,0.003,0.014,0.3,0.023,21
2014,1,9,7,0.004,0.018,0.3,0.019,19
2014,1,9,8,0.004,0.021,0.3,0.017,19
2014,1,9,9,0.004,0.025,0.3,0.013,21
2014,1,9,10,0.004,0.022,0.3,0.018,20
2014,1,9,11,0.005,0.024,0.4,0.017,29
2014,1,9,12,0.004,0.022,0.3,0.02,28
2014,1,9,13,0.004,0.019,0.3,0.022,29
2014,1,9,14,0.003,0.016,0.3,0.026,32
2014,1,9,15,0.003,0.012,0.3,0.029,32
2014,1,9,16,0.003,0.013,0.3,0.028,36
2014,1,9,17,0.002,0.012,0.2,0.029,47
2014,1,9,18,0.002,0.014,0.2,0.027,36
2014,1,9,19,0.002,0.015,0.2,0.027,23
2014,1,9,20,0.002,0.014,0.3,0.027,18
2014,1,9,21,0.003,0.015,0.3,0.026,23
2014,1,9,22,0.003,0.016,0.3,0.024,21
2014,1,9,23,0.004,0.016,0.3,0.024,19
