학제,학교명,지역,설립,재적학생수
전문대학,한국철도대학,경기,국립,180 
전문대학,강원도립대학,강원,공립,1658 
전문대학,경남도립거창대학,경남,공립,1614 
전문대학,경남도립남해대학,경남,공립,1639 
전문대학,경북도립대학교,경북,공립,1389 
전문대학,충북도립대학,충북,공립,1815 
전문대학,충남도립대학교,충남,공립,1747 
전문대학,한국복지대학교,경기,국립,735 
전문대학,가톨릭상지대학교,경북,사립,2859 
전문대학,군산간호대학교,전북,사립,1241 
전문대학,거제대학교,경남,사립,2525 
전문대학,경남정보대학교,부산,사립,11748 
전문대학,호산대학교,경북,사립,2832 
전문대학,경민대학교,경기,사립,8154 
전문대학,대구미래대학교,경북,사립,1430 
전문대학,영남외국어대학,경북,사립,1070 
전문대학,경북전문대학교,경북,사립,4290 
전문대학,경복대학교,경기,사립,8672 
전문대학,경인여자대학교,인천,사립,5309 
전문대학,서라벌대학교,경북,사립,1270 
전문대학,계명문화대학교,대구,사립,8149 
전문대학,계원예술대학교,경기,사립,4361 
전문대학,광양보건대학교,전남,사립,2439 
전문대학,광주보건대학교,광주,사립,5376 
전문대학,구미대학교,경북,사립,8306 
전문대학,서해대학,전북,사립,2084 
전문대학,군장대학교,전북,사립,3028 
전문대학,강동대학교,충북,사립,7079 
전문대학,고구려대학교,전남,사립,2364 
전문대학,기독간호대학교,광주,사립,713 
전문대학,전주기전대학,전북,사립,2203 
전문대학,김천과학대학교,경북,사립,1659 
전문대학,김포대학교,경기,사립,5189 
전문대학,농협대학교,경기,사립,581 
전문대학,대경대학교,경북,사립,5811 
전문대학,대구공업대학교,대구,사립,4165 
전문대학,대구보건대학교,대구,사립,9370 
전문대학,수성대학교,대구,사립,5884 
전문대학,대구과학대학교,대구,사립,6123 
전문대학,대동대학교,부산,사립,2065 
전문대학,대림대학교,경기,사립,11356 
전문대학,대원대학교,충북,사립,4118 
전문대학,동서울대학교,경기,사립,9282 
전문대학,대전보건대학교,대전,사립,8450 
전문대학,우송정보대학,대전,사립,7933 
전문대학,대전과학기술대학교,대전,사립,6336 
전문대학,아주자동차대학,충남,사립,2550 
전문대학,인천재능대학교,인천,사립,6322 
전문대학,경북과학대학교,경북,사립,2695 
전문대학,동남보건대학교,경기,사립,6309 
전문대학,동부산대학교,부산,사립,4237 
전문대학,동강대학교,광주,사립,4449 
전문대학,동아방송예술대학교,경기,사립,4530 
전문대학,동아인재대학교,전남,사립,2357 
전문대학,동양미래대학교,서울,사립,11948 
전문대학,동우대학,강원,사립,162 
전문대학,동원대학교,경기,사립,6254 
전문대학,동의과학대학교,부산,사립,10967 
전문대학,동주대학교,부산,사립,5658 
전문대학,두원공과대학교,경기,사립,10228 
전문대학,마산대학교,경남,사립,8429 
전문대학,명지전문대학,서울,사립,10474 
전문대학,목포과학대학교,전남,사립,4604 
전문대학,문경대학교,경북,사립,1103 
전문대학,배화여자대학교,서울,사립,3460 
전문대학,백제예술대학교,전북,사립,2781 
전문대학,부산경상대학교,부산,사립,4797 
전문대학,부산여자대학교,부산,사립,3130 
전문대학,부산과학기술대학교,부산,사립,10296 
전문대학,부천대학교,경기,사립,11695 
전문대학,삼육보건대학교,서울,사립,1522 
전문대학,상지영서대학교,강원,사립,6334 
전문대학,서영대학교,광주,사립,8634 
전문대학,서울여자간호대학교,서울,사립,1017 
전문대학,서울예술대학교,경기,사립,4306 
전문대학,서일대학교,서울,사립,9916 
전문대학,성덕대학교,경북,사립,1409 
전문대학,성심외국어대학,부산,사립,1249 
전문대학,송원대학,광주,사립,24 
전문대학,수원여자대학교,경기,사립,4878 
전문대학,수원과학대학교,경기,사립,9917 
전문대학,순천제일대학교,전남,사립,5187 
전문대학,청암대학교,전남,사립,3688 
전문대학,숭의여자대학교,서울,사립,3861 
전문대학,신구대학교,경기,사립,9393 
전문대학,신성대학교,충남,사립,6942 
전문대학,신흥대학교,경기,사립,3453 
전문대학,안동과학대학교,경북,사립,4249 
전문대학,신안산대학교,경기,사립,7048 
전문대학,안산대학교,경기,사립,6091 
전문대학,연성대학교,경기,사립,10989 
전문대학,동원과학기술대학교,경남,사립,3699 
전문대학,여주대학교,경기,사립,9185 
전문대학,연암공업대학,경남,사립,3051 
전문대학,천안연암대학,충남,사립,1698 
전문대학,영남이공대학교,대구,사립,10102 
전문대학,강릉영동대학교,강원,사립,5120 
전문대학,세경대학교,강원,사립,1253 
전문대학,영진전문대학,대구,사립,13675 
전문대학,오산대학교,경기,사립,8470 
전문대학,용인송담대학교,경기,사립,6791 
전문대학,울산과학대학교,울산,사립,8454 
전문대학,한국영상대학교,세종,사립,5195 
전문대학,원광보건대학교,전북,사립,6630 
전문대학,유한대학교,경기,사립,9025 
전문대학,인덕대학교,서울,사립,9891 
전문대학,인하공업전문대학,인천,사립,12190 
전문대학,장안대학교,경기,사립,9361 
전문대학,적십자간호대학,서울,사립,3 
전문대학,전남과학대학교,전남,사립,5064 
전문대학,전주비전대학교,전북,사립,5202 
전문대학,전북과학대학교,전북,사립,1777 
전문대학,제주관광대학교,제주,사립,3710 
전문대학,제주산업정보대학,제주,사립,17 
전문대학,조선이공대학교,광주,사립,7134 
전문대학,조선간호대학교,광주,사립,915 
전문대학,충북보건과학대학교,충북,사립,4299 
전문대학,진주보건대학교,경남,사립,3354 
전문대학,창신대학,경남,사립,274 
전문대학,창원문성대학,경남,사립,8413 
전문대학,백석문화대학교,충남,사립,9243 
전문대학,청강문화산업대학교,경기,사립,5192 
전문대학,춘해보건대학교,울산,사립,3117 
전문대학,대덕대학교,대전,사립,7403 
전문대학,충청대학교,충북,사립,8233 
전문대학,강원관광대학교,강원,사립,1830 
전문대학,국제대학교,경기,사립,7141 
전문대학,선린대학교,경북,사립,3738 
전문대학,포항대학교,경북,사립,3497 
전문대학,제주한라대학교,제주,사립,8862 
전문대학,한림성심대학교,강원,사립,5409 
전문대학,한양여자대학교,서울,사립,7407 
전문대학,한영대학,전남,사립,1554 
전문대학,혜전대학교,충남,사립,4523 
전문대학,경기과학기술대학교,경기,사립,7703 
전문대학,부산예술대학교,부산,사립,1200 
전문대학,전남도립대학교,전남,공립,2209 
전문대학,송호대학교,강원,사립,1577 
전문대학,한국관광대학교,경기,사립,3030 
전문대학,서정대학교,경기,사립,8375 
전문대학,송곡대학교,강원,사립,997 
