사용월,버스노선번호,버스노선명,버스정류장명,승차인원,하차인원,작업일자
201512,9714,9714번(교하운정~서울역),디지털미디어시티역,1763,209,20160308
201512,9714,9714번(교하운정~서울역),교하차고지,189,8,20160308
201512,9714,9714번(교하운정~서울역),교하차고지,0,151,20160308
201512,9714,9714번(교하운정~서울역),마두역(중),743,496,20160308
201512,9714,9714번(교하운정~서울역),중앙공원,1,1504,20160308
201512,9714,9714번(교하운정~서울역),중앙공원,1115,9,20160308
201512,9714,9714번(교하운정~서울역),우리은행앞,51,4042,20160308
201512,9714,9714번(교하운정~서울역),트리플메디컬타운,4359,46,20160308
201512,9714,9714번(교하운정~서울역),청석마을8단지,5,1182,20160308
201512,9714,9714번(교하운정~서울역),청석마을,3089,16,20160308
201512,9714,9714번(교하운정~서울역),숭례문,1786,1099,20160308
201512,9714,9714번(교하운정~서울역),행신초등학교(중),1053,359,20160308
201512,9714,9714번(교하운정~서울역),알미공원(중),319,267,20160308
201512,9714,9714번(교하운정~서울역),주엽역(중),475,363,20160308
201512,9714,9714번(교하운정~서울역),주엽역(중),854,475,20160308
201512,9714,9714번(교하운정~서울역),일산동구청(중),860,1325,20160308
201512,9714,9714번(교하운정~서울역),일산동구청(중),1028,798,20160308
201512,9714,9714번(교하운정~서울역),고양경찰서,540,554,20160308
201512,9714,9714번(교하운정~서울역),고양경찰서(중),535,454,20160308
201512,9714,9714번(교하운정~서울역),행신동(중),663,277,20160308
201512,9714,9714번(교하운정~서울역),행신동(중),377,687,20160308
201512,9714,9714번(교하운정~서울역),서정마을(중),308,108,20160308
201512,9714,9714번(교하운정~서울역),서정마을(중),134,503,20160308
201512,9714,9714번(교하운정~서울역),문촌마을(중),227,271,20160308
201512,9714,9714번(교하운정~서울역),문촌마을(중),131,306,20160308
201512,9714,9714번(교하운정~서울역),강선마을(중),416,585,20160308
201512,9714,9714번(교하운정~서울역),강선마을(중),331,543,20160308
201512,9714,9714번(교하운정~서울역),마두역(중),860,972,20160308
201512,9714,9714번(교하운정~서울역),백석역(중),433,687,20160308
201512,9714,9714번(교하운정~서울역),행신초등학교(중),459,759,20160308
201512,9714,9714번(교하운정~서울역),소만마을,519,123,20160308
201512,9714,9714번(교하운정~서울역),소만마을,184,544,20160308
201512,9714,9714번(교하운정~서울역),연세대앞,2787,90,20160308
201512,9714,9714번(교하운정~서울역),연세대앞,139,1995,20160308
201512,9714,9714번(교하운정~서울역),디지털미디어시티역,290,1788,20160308
201512,9714,9714번(교하운정~서울역),서대문경찰서,479,184,20160308
201512,9714,9714번(교하운정~서울역),대화역,2679,1049,20160308
201512,9714,9714번(교하운정~서울역),대화역,716,2965,20160308
201512,9714,9714번(교하운정~서울역),책향기마을,1701,14,20160308
201512,9714,9714번(교하운정~서울역),책향기마을,8,2895,20160308
201512,9714,9714번(교하운정~서울역),광화문광화문빌딩,2076,2931,20160308
201512,9714,9714번(교하운정~서울역),신한은행본점,1519,1481,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",역촌역역촌오거리,1308,435,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",응암3동주민센터,313,668,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",신사초등학교,1810,1138,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",상신초등학교,918,1193,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",신사동고개.은평지역자활센터,1030,1207,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",서울기독대학교입구,1266,995,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",응암시장,1103,794,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",신진자동차고등학교,2471,781,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",구산동사거리,177,1327,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",시립서북병원세현교회앞,1210,1710,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",홍연2교두산아파트앞,1103,150,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",응암초등학교,188,1059,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",하나은행역촌동지점,478,332,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",충북슈퍼앞,618,164,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",역촌상가앞,791,365,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",시립서북병원세현교회앞,1131,1369,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",구산동사거리,292,432,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",선일여고입구,3,2221,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",갈현동미미아파트,6,877,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",한솔아파트입구선정중학교후문,169,679,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",한솔아파트입구선정중학교후문,778,375,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",갈현동미미아파트,529,44,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",선일여고입구,1558,19,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",선진운수종점,3413,15,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",서대문구청서대문보건소,1188,1795,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",서부경찰서,590,383,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",응암초등학교,918,324,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",홍연2교현대교통종점,289,683,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",명지대입구.서울무용센터,255,735,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",명지대입구.신원지벤스타,619,328,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",서대문문화체육회관입구,1689,506,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",연희지하차도,448,623,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",명지중고등학교,1477,474,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",명지중고등학교,313,1286,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",명지전문대.충암중고등학교,1929,493,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",명지전문대.충암중고등학교,552,3080,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",은평문화예술정보학교,335,559,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",은평문화예술정보학교,815,1025,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",선진운수종점,12,1956,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",응암오거리,2368,1043,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",구산동주민센터.구산치안센터,296,691,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",구산동주민센터.구산치안센터,622,504,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",구산중학교.구산교회,592,1055,20160308
201512,8774,"8774번(통학,선진운수종점~서대문구청)",구산중학교.구산교회,820,957,20160308
201512,8541,8541번(호압사~강남역),관악구청,342,396,20160308
201512,8541,8541번(호압사~강남역),서울여상.서울문영여중고앞,0,93,20160308
201512,8541,8541번(호압사~강남역),서울대학교,12,225,20160308
201512,8541,8541번(호압사~강남역),서울대학교치과병원.동물병원,0,52,20160308
201512,8541,8541번(호압사~강남역),사당역9번출구앞,2,151,20160308
201512,8541,8541번(호압사~강남역),방배경찰서앞,12,87,20160308
201512,8541,8541번(호압사~강남역),사당동우체국앞,11,40,20160308
201512,8541,8541번(호압사~강남역),총신대입구역.남성시장입구앞,69,40,20160308
201512,8541,8541번(호압사~강남역),경문고교.배나무골앞,33,33,20160308
201512,8541,8541번(호압사~강남역),정금마을앞,27,24,20160308
201512,8541,8541번(호압사~강남역),갯마을앞,22,25,20160308
201512,8541,8541번(호압사~강남역),정금마을,68,44,20160308
201512,8541,8541번(호압사~강남역),경문고등학교,194,55,20160308
201512,8541,8541번(호압사~강남역),총신대입구역.남성시장입구앞,143,84,20160308
201512,8541,8541번(호압사~강남역),이수역,94,77,20160308
201512,8541,8541번(호압사~강남역),구반포역,33,19,20160308
201512,8541,8541번(호압사~강남역),신반포역,33,2,20160308
201512,8541,8541번(호압사~강남역),신반포역,21,250,20160308
201512,8541,8541번(호압사~강남역),구반포역.심산문화센터,362,357,20160308
201512,8541,8541번(호압사~강남역),고속터미널,203,39,20160308
201512,8541,8541번(호압사~강남역),고속터미널,289,500,20160308
201512,8541,8541번(호압사~강남역),사평역,14,266,20160308
201512,8541,8541번(호압사~강남역),사평역,4,8,20160308
201512,8541,8541번(호압사~강남역),신논현역.구교보타워사거리,207,14,20160308
201512,8541,8541번(호압사~강남역),행운동주민센터,1,120,20160308
201512,8541,8541번(호압사~강남역),낙성대입구,1,67,20160308
201512,8541,8541번(호압사~강남역),예술인마을,7,52,20160308
201512,8541,8541번(호압사~강남역),사당1동관악시장앞,9,41,20160308
201512,8541,8541번(호압사~강남역),제일약품사옥,68,0,20160308
201512,8541,8541번(호압사~강남역),강남역,90,168,20160308
201512,8541,8541번(호압사~강남역),구립서초어린이도서관,19,212,20160308
201512,8541,8541번(호압사~강남역),서초동우성2차아파트,3,89,20160308
201512,8541,8541번(호압사~강남역),진흥아파트,10,372,20160308
201512,8541,8541번(호압사~강남역),서초동삼호아파트,1,196,20160308
201512,8541,8541번(호압사~강남역),KCC사옥,5,354,20160308
201512,8541,8541번(호압사~강남역),사당역,93,406,20160308
201512,8541,8541번(호압사~강남역),남서울농협남현동지점,87,307,20160308
201512,8541,8541번(호압사~강남역),예술인마을.사당초등학교,76,96,20160308
