No,어린이집유형,어린이집,어린이집특성,평가인증여부,정원,아동현원,보육교직원현원
1,민간,21세기어린이집,일반,Y,70,70,10
2,국공립,ymca어린이집,장애아통합,Y,60,60,11
3,가정,가람어린이집,일반,N,14,11,3
4,민간,가빈어린이집,일반,N,59,50,14
5,가정,거목어린이집,일반,Y,20,20,5
6,민간,건강한영아전담어린이집,영아전담,Y,32,32,10
7,민간,과학나라어린이집,일반,N,39,21,6
8,민간,구름나무어린이집,일반,N,32,29,7
9,법인·단체등,구포원광어린이집,일반,Y,49,45,7
10,민간,국제어린이집,일반,Y,88,80,13
11,민간,그루터기어린이집,일반,N,25,21,6
12,가정,그린베이비어린이집,일반,Y,20,20,6
13,가정,그린어린이집,일반,N,14,12,4
14,가정,그린코아어린이집,일반,N,19,19,5
15,가정,그림나라어린이집,일반,Y,20,20,4
16,민간,금곡건강한어린이집,일반,N,93,47,9
17,가정,금곡이안어린이집,일반,Y,19,19,5
18,가정,꼬꼬마어린이집,일반,Y,11,8,4
19,가정,꼬꼬망어린이집,일반,Y,20,20,5
20,민간,꼬마대통령어린이집,일반,Y,113,113,20
21,가정,꼬마세상어린이집,일반,N,13,13,3
22,민간,꼬마숲어린이집,일반,N,67,29,7
23,가정,꼬마자람터어린이집,일반,N,13,11,3
24,민간,꽃사슴어린이집,일반,N,43,37,8
25,가정,꾸러기어린이집,일반,Y,20,17,5
26,가정,꿈나무어린이집,일반,N,18,13,4
27,민간,꿈동산 어린이집,일반,N,127,126,19
28,민간,꿈마루어린이집,일반,N,38,32,10
29,민간,꿈사랑어린이집,일반,Y,26,21,6
30,민간,나라어린이집,일반,Y,29,25,7
31,민간,나무와숲어린이집,일반,N,32,32,8
32,국공립,남산정어린이집,장애아통합,Y,35,34,8
33,민간,노벨어린이집,일반,N,76,76,11
34,가정,뉴새싹어린이집,일반,Y,18,5,2
35,가정,뉴아이사랑어린이집,일반,N,20,20,6
36,가정,다모아어린이집,일반,Y,19,19,4
37,가정,다사랑어린이집,일반,Y,20,20,6
38,가정,다솜어린이집,일반,N,15,6,2
39,가정,다윗어린이집,일반,N,20,20,6
40,민간,대림어린이집,일반,N,49,34,4
41,가정,대우영재어린이집,시간연장형,Y,20,20,6
42,사회복지법인,덕양어린이집,일반,Y,104,85,11
43,국공립,덕천원광어린이집,시간연장형,Y,45,41,8
44,가정,도담영재어린이집,일반,N,20,20,5
45,가정,도토리 어린이집,일반,Y,19,18,5
46,민간,동원금샘어린이집,일반,Y,45,45,10
47,가정,동원어린이집,일반,Y,18,18,5
48,민간,동화마을어린이집,일반,N,39,37,10
49,가정,동화속어린이집,일반,Y,20,16,4
50,민간,두란노어린이집,일반,N,163,73,10
51,가정,둘리어린이집,일반,N,19,16,5
52,가정,둥지어린이집,일반,N,19,18,4
53,가정,딸기 어린이집,일반,N,20,20,4
54,민간,또래또어린이집,일반,Y,49,48,8
55,가정,또래어린이집,일반,Y,20,20,5
56,가정,또하나어린이집,일반,N,20,20,6
57,가정,롯데꿈터어린이집,일반,N,20,20,4
58,민간,롯데드림어린이집,일반,N,31,31,9
59,가정,롯데카이저어린이집,일반,N,20,20,7
60,민간,리버빌어린이집,일반,Y,23,20,5
61,민간,리틀꼬마대통령어린이집,일반,Y,32,32,5
62,민간,리틀스쿨 어린이집,일반,Y,27,27,4
63,가정,리틀카이저어린이집,일반,N,20,20,4
64,민간,리틀해오름어린이집,일반,N,86,80,13
65,국공립,만덕1어린이집,일반,Y,84,75,10
66,가정,모아또래 어린이집,일반,Y,19,19,4
67,민간,무지개어린이집,일반,N,39,23,9
68,사회복지법인,미래어린이집,"영아전담,시간연장형",Y,49,43,9
69,가정,미소가득어린이집,시간연장형,N,20,20,6
70,민간,미키와친구들어린이집,일반,Y,21,16,4
71,가정,백조사랑어린이집,일반,N,20,20,7
72,민간,백조어린이집,일반,Y,49,49,9
73,민간,베베 어린이집,일반,Y,37,37,10
74,가정,벽산어린이집,일반,Y,20,10,3
75,가정,보경어린이집,"시간연장형,24시간",Y,20,19,8
76,직장,부민병원어린이집,일반,N,39,6,4
77,민간,부산예능어린이집,일반,Y,46,41,9
78,가정,브레인 어린이집,일반,Y,20,20,5
79,민간,빛고운어린이집,일반,Y,45,45,8
80,민간,삐아제어린이집,일반,N,70,59,10
81,가정,사과나무 어린이집,일반,Y,20,20,5
82,민간,삼정어린이집,일반,Y,43,40,11
83,가정,삼한어린이집,일반,Y,20,16,4
84,민간,새들어린이집,일반,Y,34,27,6
85,민간,새싹어린이집,일반,Y,32,32,6
86,사회복지법인,샘터어린이집,장애아전문,Y,32,32,18
